;58313018;134394694;145670726;156979472;162543512;180555990;185474663;189349021;205304418;213077119;225531635;227759026;244349165;265233321;289146154;310971170;312644740;321902636;327036216;377134262;458950628;462524326;473922861;479459171;506511631;554702318
58313018;0;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0
134394694;1;0;1;1;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0
145670726;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0
156979472;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
162543512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180555990;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0
185474663;1;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0
189349021;1;1;1;0;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0
205304418;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
213077119;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
225531635;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
227759026;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0
244349165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
265233321;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
289146154;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0
310971170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
312644740;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
321902636;1;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
327036216;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
377134262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
458950628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
462524326;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
473922861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
479459171;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
506511631;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
554702318;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
